2023-07-23 20:05:50.774 [main] INFO  c.p.accomatch.AccomatchApplication - Starting AccomatchApplication using Java 19.0.2 with PID 5708 (C:\Dal\Sem 2\ASDC\project new\group04\accomatch\target\classes started by bjkan in C:\Dal\Sem 2\ASDC\project new\group04)
2023-07-23 20:05:50.777 [main] INFO  c.p.accomatch.AccomatchApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-23 20:05:52.953 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-23 20:05:52.965 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-07-23 20:05:52.966 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-23 20:05:52.966 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-07-23 20:05:53.085 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-23 20:05:53.088 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2217 ms
2023-07-23 20:05:53.736 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4eaf7902, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@20c812c8, org.springframework.security.web.context.SecurityContextHolderFilter@413bef78, org.springframework.security.web.header.HeaderWriterFilter@2a7d9b41, org.springframework.web.filter.CorsFilter@71aaf151, org.springframework.security.web.authentication.logout.LogoutFilter@60f21960, com.project.accomatch.JWT.JwtFilter@45cec376, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f7c420c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7944b8b4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7061622, org.springframework.security.web.session.SessionManagementFilter@461c3709, org.springframework.security.web.access.ExceptionTranslationFilter@609319c3, org.springframework.security.web.access.intercept.AuthorizationFilter@f557c37]
2023-07-23 20:05:53.888 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-07-23 20:05:53.925 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
